Step,Average Training Loss per Epoch,Training Accuracy,Training F1 Score,Validation Loss,Validation Accuracy,Validation F1 Score
0,2.240180015563965,17.516414642333984,0.049925796687603,2.1255247592926025,19.587430953979492,0.03275834396481514
1,1.9270594120025635,27.82259750366211,0.08677375316619873,1.5991750955581665,34.72264862060547,0.125373974442482
2,1.409145712852478,49.360469818115234,0.3290207087993622,1.0234163999557495,58.96588897705078,0.4027116000652313
3,0.852982223033905,71.6081771850586,0.6407848596572876,0.4959634840488434,86.88536834716797,0.8370720148086548
4,0.43366509675979614,88.72599029541016,0.87279212474823,0.28349196910858154,92.24031829833984,0.9124953150749207
5,0.2904341518878937,92.54132843017578,0.91862952709198,0.24018222093582153,93.34281158447266,0.9257135987281799
6,0.23233970999717712,94.05790710449219,0.9355510473251343,0.22055919468402863,93.90365600585938,0.9328871369361877
7,0.19729240238666534,95.02163696289062,0.9464313983917236,0.21108631789684296,94.24554443359375,0.9378270506858826
8,0.16436146199703217,95.8707046508789,0.9554762840270996,0.2110799252986908,94.4529800415039,0.9398586750030518
9,0.13855957984924316,96.590087890625,0.9631010293960571,0.20824164152145386,94.68346405029297,0.9424312710762024
10,0.10808178037405014,97.50877380371094,0.9728814959526062,0.21127010881900787,94.56822204589844,0.9407510757446289
11,0.09425018727779388,97.8077163696289,0.9761157035827637,0.21501316130161285,94.73724365234375,0.9430447816848755
12,0.08408346772193909,98.09710693359375,0.9792503714561462,0.22228451073169708,94.61048126220703,0.9417716264724731
13,0.07524272054433823,98.3264389038086,0.9816949367523193,0.22397322952747345,94.69114685058594,0.942578136920929
14,0.0683542937040329,98.50936126708984,0.9837215542793274,0.22981400787830353,94.56438446044922,0.9414006471633911
15,0.05954413488507271,98.77827453613281,0.9866745471954346,0.23760804533958435,94.42609405517578,0.9399051070213318
16,0.05513503775000572,98.83287811279297,0.9872042536735535,0.23624691367149353,94.5759048461914,0.9412528872489929
17,0.04851639270782471,98.97483825683594,0.9887269735336304,0.2455812245607376,94.46834564208984,0.9406484961509705
18,0.041942063719034195,99.14274597167969,0.990639865398407,0.2481987178325653,94.3300552368164,0.9387938976287842
19,0.03817709907889366,99.24785614013672,0.9916834831237793,0.2558705508708954,94.429931640625,0.939479410648346
20,0.03228883445262909,99.41712188720703,0.993622899055481,0.25433507561683655,94.52212524414062,0.9409040212631226
21,0.029948698356747627,99.43896484375,0.9938896298408508,0.2587082087993622,94.47987365722656,0.9403997659683228
22,0.02777595818042755,99.48674011230469,0.994339644908905,0.2620071768760681,94.4952392578125,0.9406160116195679
23,0.025224026292562485,99.54953002929688,0.9949964284896851,0.26622819900512695,94.4529800415039,0.9403150677680969
24,0.02435380592942238,99.59867095947266,0.995658814907074,0.2704585790634155,94.429931640625,0.9398111701011658
25,0.023415571078658104,99.6095962524414,0.9957461357116699,0.27223607897758484,94.37999725341797,0.9395962953567505
26,0.021846866235136986,99.62051391601562,0.9958505034446716,0.2704637348651886,94.56822204589844,0.9415555596351624
27,0.02146829478442669,99.62870788574219,0.996004045009613,0.2711562514305115,94.47987365722656,0.9403993487358093
28,0.019807450473308563,99.6396255493164,0.9960631728172302,0.28234201669692993,94.42224884033203,0.9399968385696411
29,0.0191743653267622,99.68330383300781,0.9965831637382507,0.28143006563186646,94.46066284179688,0.9403518438339233
